name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Genoa,Italy",2022-07-26,28.9,25.9,27.7,33.3,25.9,30.7,22.6,73.6,0,0,0,rain,0,0,27.7,25.8,128,1009.8,53.5,10,265.5,23,9,75,2022-07-26T06:04:36,2022-07-26T20:56:24,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-07-27,31.7,22.7,27.4,32.1,22.7,28.5,18.9,60.5,2.153,100,4.17,rain,0,0,41.4,36.9,75.8,1009.1,41.1,10,307,26.6,9,30,2022-07-27T06:05:39,2022-07-27T20:55:19,0.96,"Rain, Partially cloudy",Clearing in the afternoon with morning rain.,rain,"D9691,16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-07-28,28.8,24.9,27.1,31.6,24.9,28.7,20.6,67.9,0.052,100,4.17,rain,0,0,19.1,12.9,214.1,1011.4,31.7,10,278.8,23.9,8,30,2022-07-28T06:06:43,2022-07-28T20:54:13,0,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-07-29,28.6,23.9,26,30.8,23.9,26.8,20.6,72.3,3.044,100,4.17,rain,0,0,25.9,25.8,58.8,1013.3,44.2,10,149.7,13.1,7,30,2022-07-29T06:07:48,2022-07-29T20:53:04,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-07-30,34.6,14.2,28,32.5,14.2,27.3,13.8,49.3,0.017,100,4.17,rain,0,0,21.6,25.8,21,1013,22.5,10.6,315.8,27.3,9,10,2022-07-30T06:08:53,2022-07-30T20:51:54,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-07-31,29,25.9,27.7,31.8,25.9,28.8,16.7,54.4,0,0,0,,0,0,16.9,22.3,75.4,1014.3,4.6,10,308.8,26.8,9,10,2022-07-31T06:09:58,2022-07-31T20:50:42,0.09,Clear,Clear conditions throughout the day.,clear-day,"16153099999,LIMJ,16120099999,16111099999,F9122,D9924"
"Genoa,Italy",2022-08-01,29,24,27.1,32.7,24,28.7,19.2,62.7,0,0,0,,0,0,15.1,9.3,158.3,1013.8,6.6,10,292.1,25.3,9,10,2022-08-01T06:11:04,2022-08-01T20:49:29,0.13,Clear,Clear conditions throughout the day.,clear-day,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-08-02,29.9,25,27.6,31.8,25,28.5,16.8,52.5,0,0,0,rain,0,0,19.4,11.1,153.6,1013.6,38.4,10,290.2,25.2,9,10,2022-08-02T06:12:11,2022-08-02T20:48:14,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-08-03,30.6,26.5,28.5,33.6,26.5,29.9,18.4,55,0,0,0,,0,0,22.3,22.3,6.8,1014.3,12.2,10,297.8,25.9,8,10,2022-08-03T06:13:17,2022-08-03T20:46:57,0.2,Clear,Clear conditions throughout the day.,clear-day,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-08-04,30.6,25.9,28.5,33.4,25.9,30.7,20.2,61.7,0,0,0,,0,0,17.6,14.7,113.2,1014.2,14.8,10,297,25.9,9,10,2022-08-04T06:14:25,2022-08-04T20:45:39,0.23,Clear,Clear conditions throughout the day.,clear-day,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
